Input,Output
white car lounging,"A serene white car lounging in a surreal style, --ar 16:9"
green person dancing,"A futuristic green person dancing in a cyberpunk style, --q 3"
pink cat sleeping,"A whimsical pink cat sleeping in a minimalist style, --ar 4:3"
brown tree dancing,"A futuristic brown tree dancing in a watercolor style, --ar 4:3"
green dragon swimming,"A eerie green dragon swimming in a sketch style, --q 2"
yellow dragon flying,"A dark yellow dragon flying in a pop art style, --q 2"
white dog dancing,"A dramatic white dog dancing in a surreal style, --stylize 1000"
pink dog lounging,"A futuristic pink dog lounging in a pop art style, --hd"
orange mountain sleeping,"A serene orange mountain sleeping in a minimalist style, --stylize 500"
green mountain dancing,"A eerie green mountain dancing in a minimalist style, --q 3"
yellow tree flying,"A dark yellow tree flying in a cyberpunk style, --v 4"
purple dog climbing,"A serene purple dog climbing in a sketch style, --stylize 500"
blue person jumping,"A serene blue person jumping in a oil painting style, --stylize 500"
pink tree swimming,"A romantic pink tree swimming in a watercolor style, --no blur"
black mountain dancing,"A whimsical black mountain dancing in a steampunk style, --ar 4:3"
red dog dancing,"A mysterious red dog dancing in a surreal style, --stylize 1000"
green dog running,"A serene green dog running in a pop art style, --ar 4:3"
purple house running,"A futuristic purple house running in a pop art style, --stylize 500"
purple cat sitting,"A futuristic purple cat sitting in a watercolor style, --ar 4:3"
orange dog lounging,"A romantic orange dog lounging in a cyberpunk style, --ar 16:9"
white mountain lounging,"A serene white mountain lounging in a watercolor style, --hd"
yellow mountain sitting,"A eerie yellow mountain sitting in a surreal style, --hd"
blue house lounging,"A eerie blue house lounging in a steampunk style, --v 4"
brown robot flying,"A romantic brown robot flying in a digital art style, --q 2"
blue person jumping,"A mysterious blue person jumping in a photorealistic style, --v 4"
purple robot jumping,"A dramatic purple robot jumping in a watercolor style, --q 3"
white car standing,"A futuristic white car standing in a cyberpunk style, --hd"
orange person jumping,"A mysterious orange person jumping in a pop art style, --q 3"
pink robot climbing,"A futuristic pink robot climbing in a steampunk style, --q 3"
white person flying,"A whimsical white person flying in a surreal style, --no blur"
blue car running,"A dramatic blue car running in a surreal style, --ar 16:9"
black bird jumping,"A vibrant black bird jumping in a pop art style, --v 5"
pink person flying,"A dramatic pink person flying in a steampunk style, --v 5"
blue mountain sleeping,"A eerie blue mountain sleeping in a sketch style, --no blur"
green car jumping,"A vibrant green car jumping in a pop art style, --no blur"
blue dragon swimming,"A futuristic blue dragon swimming in a watercolor style, --stylize 500"
yellow dragon lounging,"A whimsical yellow dragon lounging in a surreal style, --ar 4:3"
purple house lounging,"A mysterious purple house lounging in a oil painting style, --v 5"
yellow dragon climbing,"A eerie yellow dragon climbing in a oil painting style, --q 3"
brown tree lounging,"A eerie brown tree lounging in a minimalist style, --stylize 500"
purple robot sleeping,"A dark purple robot sleeping in a watercolor style, --stylize 500"
red bird sleeping,"A eerie red bird sleeping in a steampunk style, --ar 16:9"
yellow dog sitting,"A serene yellow dog sitting in a watercolor style, --stylize 500"
orange tree sleeping,"A dark orange tree sleeping in a steampunk style, --q 3"
pink cat climbing,"A eerie pink cat climbing in a sketch style, --ar 16:9"
pink house swimming,"A whimsical pink house swimming in a steampunk style, --q 3"
yellow bird sleeping,"A mysterious yellow bird sleeping in a digital art style, --no blur"
purple dragon jumping,"A serene purple dragon jumping in a oil painting style, --stylize 1000"
orange person dancing,"A vibrant orange person dancing in a oil painting style, --ar 4:3"
black car sleeping,"A mysterious black car sleeping in a cyberpunk style, --ar 16:9"
blue house standing,"A dark blue house standing in a cyberpunk style, --stylize 500"
red house sitting,"A dramatic red house sitting in a surreal style, --q 2"
black dog flying,"A vibrant black dog flying in a oil painting style, --ar 4:3"
green cat running,"A mysterious green cat running in a digital art style, --no blur"
white mountain jumping,"A dramatic white mountain jumping in a digital art style, --ar 16:9"
purple dog standing,"A mysterious purple dog standing in a steampunk style, --q 2"
black cat swimming,"A serene black cat swimming in a watercolor style, --q 2"
yellow bird running,"A futuristic yellow bird running in a photorealistic style, --ar 4:3"
purple person climbing,"A mysterious purple person climbing in a photorealistic style, --ar 4:3"
blue dragon swimming,"A vibrant blue dragon swimming in a pop art style, --v 5"
purple robot standing,"A futuristic purple robot standing in a photorealistic style, --v 5"
red dog climbing,"A mysterious red dog climbing in a oil painting style, --ar 4:3"
red person jumping,"A dark red person jumping in a watercolor style, --q 3"
green mountain lounging,"A bright green mountain lounging in a pop art style, --hd"
yellow mountain running,"A dark yellow mountain running in a cyberpunk style, --stylize 500"
purple dog sleeping,"A dramatic purple dog sleeping in a pop art style, --stylize 1000"
brown dog swimming,"A mysterious brown dog swimming in a minimalist style, --q 2"
white dog running,"A eerie white dog running in a watercolor style, --v 5"
white dog sitting,"A whimsical white dog sitting in a photorealistic style, --ar 4:3"
orange robot swimming,"A vibrant orange robot swimming in a digital art style, --stylize 1000"
red dragon lounging,"A futuristic red dragon lounging in a minimalist style, --no blur"
white robot sitting,"A futuristic white robot sitting in a digital art style, --v 5"
orange mountain running,"A futuristic orange mountain running in a oil painting style, --q 2"
green person jumping,"A bright green person jumping in a sketch style, --no blur"
black tree flying,"A serene black tree flying in a watercolor style, --v 5"
white car standing,"A eerie white car standing in a digital art style, --no blur"
yellow car flying,"A whimsical yellow car flying in a minimalist style, --v 4"
yellow person swimming,"A eerie yellow person swimming in a surreal style, --v 4"
red dragon dancing,"A vibrant red dragon dancing in a photorealistic style, --stylize 1000"
pink cat swimming,"A whimsical pink cat swimming in a surreal style, --q 3"
green bird jumping,"A mysterious green bird jumping in a pop art style, --v 5"
green car lounging,"A bright green car lounging in a photorealistic style, --v 4"
black house sleeping,"A romantic black house sleeping in a surreal style, --stylize 1000"
purple dragon running,"A futuristic purple dragon running in a photorealistic style, --hd"
black mountain climbing,"A bright black mountain climbing in a digital art style, --ar 16:9"
brown bird sleeping,"A bright brown bird sleeping in a photorealistic style, --stylize 1000"
purple bird jumping,"A eerie purple bird jumping in a surreal style, --v 4"
blue dragon running,"A serene blue dragon running in a surreal style, --stylize 1000"
black car swimming,"A whimsical black car swimming in a minimalist style, --v 5"
red robot sitting,"A romantic red robot sitting in a pop art style, --q 2"
yellow dog dancing,"A serene yellow dog dancing in a sketch style, --stylize 500"
purple car climbing,"A bright purple car climbing in a digital art style, --v 4"
orange tree jumping,"A futuristic orange tree jumping in a oil painting style, --ar 4:3"
black cat sleeping,"A eerie black cat sleeping in a cyberpunk style, --ar 16:9"
white cat flying,"A dramatic white cat flying in a steampunk style, --stylize 1000"
white house standing,"A bright white house standing in a sketch style, --v 4"
red robot climbing,"A dramatic red robot climbing in a cyberpunk style, --v 5"
red dog running,"A vibrant red dog running in a sketch style, --v 5"
red bird lounging,"A serene red bird lounging in a surreal style, --stylize 500"
green dog flying,"A dramatic green dog flying in a photorealistic style, --v 4"
brown house swimming,"A dramatic brown house swimming in a surreal style, --stylize 1000"
orange robot standing,"A futuristic orange robot standing in a cyberpunk style, --q 2"
white robot lounging,"A eerie white robot lounging in a pop art style, --v 5"
white bird sleeping,"A mysterious white bird sleeping in a minimalist style, --v 4"
purple house standing,"A mysterious purple house standing in a photorealistic style, --q 3"
black person lounging,"A romantic black person lounging in a surreal style, --stylize 1000"
green house sitting,"A eerie green house sitting in a oil painting style, --no blur"
blue car standing,"A bright blue car standing in a watercolor style, --v 4"
yellow cat lounging,"A romantic yellow cat lounging in a cyberpunk style, --q 3"
white dog running,"A dark white dog running in a surreal style, --hd"
pink robot dancing,"A eerie pink robot dancing in a watercolor style, --stylize 500"
white dragon running,"A futuristic white dragon running in a photorealistic style, --ar 4:3"
orange robot lounging,"A futuristic orange robot lounging in a sketch style, --v 4"
purple person dancing,"A eerie purple person dancing in a pop art style, --stylize 500"
red bird lounging,"A bright red bird lounging in a watercolor style, --stylize 1000"
black robot sitting,"A dark black robot sitting in a watercolor style, --stylize 500"
green dog swimming,"A bright green dog swimming in a cyberpunk style, --stylize 500"
brown dog running,"A vibrant brown dog running in a oil painting style, --stylize 500"
blue tree swimming,"A mysterious blue tree swimming in a oil painting style, --ar 16:9"
white dog dancing,"A serene white dog dancing in a watercolor style, --q 2"
white bird standing,"A dramatic white bird standing in a cyberpunk style, --stylize 1000"
red robot dancing,"A dramatic red robot dancing in a cyberpunk style, --stylize 500"
green cat lounging,"A bright green cat lounging in a surreal style, --ar 4:3"
orange car swimming,"A romantic orange car swimming in a digital art style, --v 5"
pink cat jumping,"A whimsical pink cat jumping in a surreal style, --v 5"
